code,similar_code,rank,distance
me,kg,1,0.0722
me,vn,2,0.1051
me,cn,3,0.1055
me,im,4,0.121
me,ma,5,0.1241
me,tl,6,0.1296
mf,fr,1,0.0
mf,it,2,0.1504
mf,mx,3,0.1708
mf,do,4,0.1777
mf,pe,5,0.1877
mf,ro,6,0.2067
mg,bh,1,0.214
mg,tj,2,0.218
mg,mt,3,0.2511
mg,gm,4,0.2655
mg,pk,5,0.266
mg,by,6,0.2669
mh,mp,1,0.1602
mh,cv,2,0.1607
mh,ba,3,0.2209
mh,hm,4,0.2242
mh,bz,5,0.2431
mh,kh,6,0.2762
mk,me,1,0.17
mk,kg,2,0.18
mk,cn,3,0.2011
mk,tl,4,0.2012
mk,vn,5,0.205
mk,gd,6,0.2153
ml,sn,1,0.1464
ml,td,2,0.1609
ml,ro,3,0.1618
ml,mm,4,0.1778
ml,md,5,0.2122
ml,et,6,0.2135
mm,ml,1,0.1778
mm,ec,2,0.2171
mm,ve,3,0.2174
mm,et,4,0.248
mm,co,5,0.2484
mm,gn,6,0.2516
mn,kp,1,0.179
mn,mk,2,0.2469
mn,ma,3,0.2527
mn,me,4,0.2574
mn,im,5,0.2614
mn,mv,6,0.266
mo,bd,1,0.1248
mo,tg,2,0.3548
mo,za,3,0.3572
mo,mx,4,0.3626
mo,jm,5,0.3654
mo,sa,6,0.395
mp,hm,1,0.1355
mp,mh,2,0.1602
mp,cv,3,0.1746
mp,bz,4,0.1822
mp,ba,5,0.1948
mp,kh,6,0.2578
mq,ly,1,0.2002
mq,vu,2,0.2165
mq,ao,3,0.2521
mq,gw,4,0.2683
mq,mr,5,0.2697
mq,gn,6,0.2778
mr,bf,1,0.1728
mr,bj,2,0.2246
mr,gn,3,0.2426
mr,cg,4,0.2499
mr,gw,5,0.2566
mr,vu,6,0.2623
ms,gs,1,0.0399
ms,ky,2,0.0425
ms,sh,3,0.0462
ms,fk,4,0.0472
ms,ck,5,0.0492
ms,nz,6,0.0495
mt,bh,1,0.1368
mt,pl,2,0.1517
mt,mc,3,0.1552
mt,sg,4,0.1686
mt,gl,5,0.1737
mt,id,6,0.1845
mu,gn,1,0.2357
mu,td,2,0.2408
mu,ro,3,0.2419
mu,gw,4,0.2427
mu,ve,5,0.2543
mu,bj,6,0.2546
mv,by,1,0.1426
mv,ma,2,0.1659
mv,pt,3,0.1732
mv,bm,4,0.2
mv,im,5,0.2043
mv,ws,6,0.2086
mw,kn,1,0.1736
mw,ps,2,0.2257
mw,de,3,0.2473
mw,vu,4,0.2572
mw,ae,5,0.2586
mw,ao,6,0.26
mx,it,1,0.1565
mx,fr,2,0.1708
mx,mf,3,0.1708
mx,cz,4,0.2197
mx,pe,5,0.2227
mx,rs,6,0.25
my,gb,1,0.2138
my,do,2,0.2478
my,fr,3,0.2563
my,mf,4,0.2563
my,rs,5,0.2815
my,sc,6,0.3004
mz,tg,1,0.2455
mz,de,2,0.2481
mz,gd,3,0.2675
mz,cm,4,0.275
mz,ug,5,0.2769
mz,jm,6,0.3489
na,nc,1,0.2747
na,vu,2,0.2756
na,bf,3,0.2816
na,za,4,0.286
na,mr,5,0.2876
na,mq,6,0.2899
nc,ls,1,0.2593
nc,br,2,0.2664
nc,na,3,0.2747
nc,gy,4,0.2953
nc,ga,5,0.3047
nc,kh,6,0.3508
ne,in,1,0.1757
ne,sl,2,0.2519
ne,ps,3,0.2775
ne,uz,4,0.2803
ne,dj,5,0.3044
ne,tj,6,0.3141
nf,sa,1,0.2363
nf,dm,2,0.2597
nf,pk,3,0.2926
nf,dz,4,0.3003
nf,ng,5,0.3064
nf,sr,6,0.3149
ng,it,1,0.1894
ng,ie,2,0.2042
ng,ci,3,0.2185
ng,br,4,0.2692
ng,nf,5,0.3064
ng,gy,6,0.3266
ni,sl,1,0.1816
ni,sv,2,0.2803
ni,hn,3,0.2887
ni,uz,4,0.3035
ni,cd,5,0.3052
ni,ls,6,0.3122
nl,sv,1,0.1995
nl,gr,2,0.2574
nl,py,3,0.2619
nl,lv,4,0.2706
nl,hu,5,0.2748
nl,sz,6,0.2868
no,bv,1,0.0
